"Alexa","Consonant","Dataset","Dictionary","Digits","Entropy"
0.037292,0.643958,"acc094.62_b88a8488532b897a4dd91b459ab97fc6caebfe83789f70b187dcc64fc51927c0.csv",0.095833,0.169999,2.436614
0.21066,0.638125,"acc009.38_7738758d8b8e3c087fe60ac19cd9f2d2d0900c3b8c3c4787a2b2d3c692351320.csv",0.451041,0.001667,2.344852
0.034375,0.547916,"acc094.88_2bf9ea301d7996413088937316cd1d087094c056cb6f6978b1ee39a2c842058b.csv",0.088125,0.336874,2.486459
0.163125,0.709166,"acc064.00_15f88db036875f3b7c4001d6f62f2883a6e15b0dc7a3fb88322f6786ddb00f75.csv",0.3175,0.007083,2.419216
0.204792,0.682084,"acc024.38_80d5daf77a901d76785d0ee3e8092dd7dd3538a36ea9f16f610acb361f5c4780.csv",0.39625,0.001875,2.369979
0.155625,0.703958,"acc066.50_3a48adb8fab4704e9c4190d1730c00afea7d1b8fc0ca464b7d51b43702cea5b3.csv",0.34125,0.005,2.405921
0.200347,0.688958,"acc038.12_eea3a4ecbc2f9de8dfb61a4147c3d1df8353308688983251c0b2a6e91dfeba7a.csv",0.532916,8.33E-4,2.407855
0.064028,0.712292,"acc077.50_054bf4e891839982087d9a533514107fc231469644f3ea8001b0185c14f06a16.csv",0.153958,0.128959,2.442079
0.066736,0.775417,"acc072.50_869cce1555c1f61f773adbc1102d423a6cbae216c8ed276bd218532797a8dcea.csv",0.163542,0.065417,2.387376
0.214583,0.68,"acc061.88_ae93d0c5707d5f85ab5ec590fbc67548e8f667e5e294170bfe9c6fd6a08cf736.csv",0.471042,0.001667,2.417441
0.120243,0.694376,"acc071.88_272de24d9528262859f2c337d1b214287f91d6f2feadbe46bc2295ac5b6abf6e.csv",0.226042,0.014167,2.387534
0.123368,0.773125,"acc041.50_ab03cf8b46cee01c9d7ea904064359217e4da00f3d45989a6fe0e4a026e079a8.csv",0.291875,0.010833,2.327517
0.160521,0.605208,"acc046.00_82eb28cb12eec9ad85c12cec1c619f3e5843f39c8b5768730ea59595819c84e3.csv",0.331875,0.00375,2.386331
0.110521,0.8075,"acc056.88_1120fbf8badf9036c5ae395cd9e7bd5dde2d59f008c14a1d6b222b4c5bc49e32.csv",0.259792,0.002292,2.404319
0.205243,0.682709,"acc063.25_9ed9c6858b5bee9a967daebd9311c633d176f9d2cf723b57d387baa0cca9c700.csv",0.479375,0.00125,2.41718
0.121702,0.826041,"acc061.38_3280fb3f47268ffb547596d6754a4db45bd3ffffa0ce0e454c4ad956700ad21c.csv",0.348542,0.005833,2.403792
0.090694,0.804376,"acc068.12_dda971a26a312911f167f5b78bdf27d5aee25baa02ad2af2a76d95b86399c03b.csv",0.183125,0.054792,2.414893
0.041701,0.655416,"acc086.50_3b950ecd7d2752690b9cb1116afa9f18c876d9d6a297872031a63f0f3036d360.csv",0.103125,0.214375,2.456506
0.035035,0.746251,"acc092.88_08af87904b879bb50c330fb3e3d6f0f73b2a49f262e0cf121578a465312d1b27.csv",0.060208,0.151874,2.408847
0.195799,0.689792,"acc020.50_ec6f987556f760663465cb21ae6957d99332ad8375f3fcf21a399328671e181e.csv",0.391667,0.001667,2.381182
0.181458,0.511041,"acc038.00_9f10816814bfe8ac7b4a1abd39b6ed06bd230cbfec32bc0c46d9c4e99ccf14e2.csv",0.416042,0.00125,2.078913
0.13441,0.750625,"acc050.00_4249b0d9a60c2db01faeab025f8a1a54de7b65a1f1e19437c9407707b8ea9b45.csv",0.300209,0.001875,2.392078
0.127361,0.800833,"acc026.00_4d053bb5b53e7b6582fb56d65e3fec721ec79ac8d53016860a3a7c99f9bacb64.csv",0.251667,0.001458,2.415356
0.168403,0.664167,"acc053.50_951ee1e2e21bab5693bf0e033df51dbcc8cd4549dc25843d8a06df3b3e0e7c36.csv",0.388542,8.33E-4,2.405977
0.227674,0.658541,"acc046.00_499a097edd32212045b8182841debea3e1638609df42c8897e828252ae121a8f.csv",0.543958,0.00125,2.409359
0.204583,0.647916,"acc019.38_a571724ef9bb6b8e53ca13ab2372f5c33517ad70b1ffb29a6c545201960f2583.csv",0.389167,0.003542,2.370608
0.036007,0.724375,"acc093.00_3dd87fa4dd4b1e404c2751fcea9314107dd7bef044be4ef367f08aed1583697d.csv",0.085833,0.166666,2.462393
0.184722,0.713542,"acc058.75_c3261826ca5ecefb71c351fc6b83860ad332a7a5628fbd8d242d8fb433b0c6b7.csv",0.437708,0.003333,2.404163
0.137292,0.701042,"acc024.62_8b9b2fc5b69b51a19bf9dec7d3a7dd328ba7c8c69b0e02ed966c5ceab5743080.csv",0.376042,4.17E-4,2.406394
0.156841,0.705208,"acc041.50_741399fed7f6f2a9f0beec61be4a161ee2f6ef61cc5bb7714ce5f46261d0e24a.csv",0.264375,0.003958,2.421607
0.071424,0.774792,"acc079.25_89848728997a255d5e253ae93cc81492e1ad9f92ce5d64c1910165e40a55c5fe.csv",0.171042,0.076667,2.414838
0.042222,0.73,"acc094.75_4bffd26f49019a7331019d62840b79195842f310e8096a1f99377f54ad922b6f.csv",0.06,0.169999,2.464949
0.185451,0.656667,"acc018.25_3acaf78899c3a7f76d543274cd34180d39205246e978540a5374f3f4a056516a.csv",0.391458,0.002917,2.346905
0.176771,0.665,"acc018.75_bed837c265574fc3902e0663ad09b909f47d57dbede103b597428043641a220b.csv",0.438542,0.004375,2.40233
0.196042,0.711458,"acc047.88_9a1820a2be76c02675ec6fb56f50f98810ea271854b7ecdbe0ecbcc0f1007e82.csv",0.4275,0.003333,2.397904
0.163195,0.657083,"acc018.12_15dd4324334d74a72e32b78b8850d6fdca8334767893e34fdab5fffe26258620.csv",0.423333,0.003542,2.395144
0.031563,0.732083,"acc094.00_ac3c214e9ba61237ba0067830b0a3dffe94730107bb7593474cbb917759b32b6.csv",0.07625,0.168541,2.453125
0.211285,0.470416,"acc015.38_4c48ed1b277207d30caff80bc60d7f57f8c750075ad8f5c084dafcd8422b9e4b.csv",0.576875,0.002917,2.065351
0.187465,0.5775,"acc018.62_951926002aaac679d860b80991fb59eb766a683a7d53cba92c2a83e5c9a0e878.csv",0.437292,0.001667,2.22768
0.202014,0.71125,"acc054.75_76393f5655502177a39dd3c37c9feb7905bf4697373719e5e11cde46801d8d52.csv",0.44,0.003333,2.36519
0.028681,0.564582,"acc088.50_c3d4c94214cd4c99e479ab1d15415ec5466e15160494593a4f3a2f9d27d5e4ae.csv",0.0475,0.270834,2.511727
0.181493,0.622084,"acc019.50_d79c6e750942666f1e448d6b9bd64b624fcee2e3abcd8fdfeee7ee918c886488.csv",0.41625,0.004375,2.292621
0.130313,0.710208,"acc018.00_2aee3199f94c54b99b3677adc3768c642129fd44b524ba7390caadde04830383.csv",0.24,0.0,2.382912
0.169028,0.700001,"acc036.12_f38f13e868c96bc0ffb96f43ab66c356f2785d04501cace0600c20b7e6f893b3.csv",0.29125,0.003542,2.406866
0.182153,0.720416,"acc032.62_1589360f712e19e927c0775efd845b2e375fc5fe185b5f41ab131657868fb9be.csv",0.370417,6.25E-4,2.391182
0.160243,0.711667,"acc061.12_044e25219e8dddbfbf2307466ee33e80e1ff80a57dcf2d1a378dff3cac91b73c.csv",0.319375,0.005625,2.421346
